Date,USDX_Close
3/24/16,96.139999
3/27/16,null
3/28/16,95.940002
3/29/16,95.160004
3/30/16,94.839996
3/31/16,94.589996
4/1/16,94.620003
4/3/16,null
4/4/16,94.510002
4/5/16,94.629997
4/6/16,94.43
4/7/16,94.480003
4/8/16,94.239998
4/10/16,null
4/11/16,93.949997
4/12/16,93.959999
4/13/16,94.739998
4/14/16,94.900002
4/15/16,94.699997
4/17/16,null
4/18/16,94.489998
4/19/16,93.980003
4/20/16,94.489998
4/21/16,94.599998
4/22/16,95.120003
4/24/16,null
4/25/16,94.839996
4/26/16,94.57
4/27/16,94.389999
4/28/16,93.760002
4/29/16,93.080002
5/1/16,null
5/2/16,92.629997
5/3/16,92.940002
5/4/16,93.18
5/5/16,93.779999
5/6/16,93.889999
5/8/16,null
5/9/16,94.150002
5/10/16,94.290001
5/11/16,93.82
5/12/16,94.139999
5/13/16,94.610001
5/15/16,null
5/16/16,94.57
5/17/16,94.550003
5/18/16,95.080002
5/19/16,95.290001
5/20/16,95.309998
5/22/16,null
5/23/16,95.230003
5/24/16,95.57
5/25/16,95.349998
5/26/16,95.169998
5/27/16,95.519997
5/29/16,null
5/31/16,95.889999
6/1/16,95.459999
6/2/16,95.559998
6/3/16,94.029999
6/5/16,null
6/6/16,93.900002
6/7/16,93.830002
6/8/16,93.589996
6/9/16,94.099998
6/10/16,94.599998
6/12/16,null
6/13/16,94.370003
6/14/16,94.93
6/15/16,94.610001
6/16/16,94.57
6/17/16,94.209999
6/19/16,null
6/20/16,93.610001
6/21/16,94.019997
6/22/16,93.720001
6/23/16,93.529999
6/24/16,95.449997
6/26/16,null
6/27/16,96.540001
6/28/16,96.25
6/29/16,95.769997
6/30/16,96.139999
7/1/16,95.650002
7/3/16,null
7/5/16,96.169998
7/6/16,96.059998
7/7/16,96.330002
7/8/16,96.300003
7/10/16,null
7/11/16,96.57
7/12/16,96.440002
7/13/16,96.220001
7/14/16,96.080002
7/15/16,96.580002
7/17/16,null
7/18/16,96.559998
7/19/16,97.050003
7/20/16,97.199997
7/21/16,97
7/22/16,97.470001
7/24/16,null
7/25/16,97.290001
7/26/16,97.160004
7/27/16,97.050003
7/28/16,96.739998
7/29/16,95.529999
7/31/16,null
8/1/16,95.709999
8/2/16,95.059998
8/3/16,95.559998
8/4/16,95.760002
8/5/16,96.190002
8/7/16,null
8/8/16,96.400002
8/9/16,96.18
8/10/16,95.650002
8/11/16,95.860001
8/12/16,95.720001
8/14/16,null
8/15/16,95.629997
8/16/16,94.790001
8/17/16,94.720001
8/18/16,94.160004
8/19/16,94.510002
8/21/16,null
8/22/16,94.519997
8/23/16,94.540001
8/24/16,94.790001
